INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXPW_EASY_100_063.kp,305,398,1206,401,401,1206,1206,1206,1206,1206
GA-MAXPW_EASY_100_064.kp,56,379,1117,371,371,1117,1117,1117,1117,1117
GA-MAXPW_EASY_100_065.kp,277,255,1022,318,1001,1022,1022,1022,618,1022
GA-MAXPW_EASY_100_066.kp,49,256,1320,536,1320,1320,1320,1320,1320,1320
GA-MAXPW_EASY_100_067.kp,111,286,1010,251,1010,1010,1010,1010,821,1010
GA-MAXPW_EASY_100_068.kp,98,343,1132,334,1132,1132,1132,1132,1132,1132
GA-MAXPW_EASY_100_069.kp,243,308,1076,342,1076,1076,1076,1076,1076,1076
GA-MAXPW_EASY_100_070.kp,351,127,1194,459,1194,1194,1194,1194,1194,1194
GA-MAXPW_EASY_100_071.kp,331,312,1085,324,1085,1085,1085,1085,1085,1085
GA-MAXPW_EASY_100_072.kp,343,296,1125,351,1125,1125,1125,1125,1125,1125
GA-MAXPW_EASY_100_073.kp,320,379,1167,331,1167,1167,1167,1167,1167,1167
GA-MAXPW_EASY_100_074.kp,479,358,1211,475,1211,1211,1211,1211,1211,1211
GA-MAXPW_EASY_100_075.kp,101,128,1002,292,1002,1002,1002,1002,1002,1002
GA-MAXPW_EASY_100_076.kp,16,308,1037,307,652,1037,1037,1046,1046,1037
GA-MAXPW_EASY_100_077.kp,229,198,1139,396,851,1097,1139,1139,839,1139
GA-MAXPW_EASY_100_078.kp,270,303,1035,308,520,1035,1035,1035,308,1035
GA-MAXPW_EASY_100_079.kp,240,151,1053,326,1053,1053,1053,1053,721,1053
GA-MAXPW_EASY_100_080.kp,159,269,1022,290,290,1022,1022,1022,1022,1022
GA-MAXPW_EASY_100_081.kp,232,354,1302,507,507,1302,1302,1302,1302,1302
GA-MAXPW_EASY_100_082.kp,148,250,1076,326,1076,1076,1076,1076,1076,1076
GA-MAXPW_EASY_100_083.kp,151,402,1128,408,1128,1128,1128,1128,1128,1128
GA-MAXPW_EASY_100_084.kp,147,523,1330,623,623,523,1330,523,483,523
GA-MAXPW_EASY_100_085.kp,155,128,1062,337,1062,1062,1062,1062,1043,1062
GA-MAXPW_EASY_100_086.kp,113,128,1344,614,1121,614,1344,1344,875,1344
