"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxProfit_50_028.kp",0.544,0.367,0.448,459,1088,1036,925,515,"MAXP",1088
"GA-MaxProfit_50_029.kp",0.52,0.472,0.539,404,1188,1155,855,513,"MAXP",1188
"GA-MaxProfit_50_030.kp",0.636,0.462,0.535,581,795,736,NA,552,"MAXP",795
"GA-MaxProfit_50_031.kp",0.605,0.479,0.291,566,1216,1165,NA,535,"MAXP",1216
"GA-MaxProfit_50_032.kp",0.606,0.519,0.356,NA,1240,1201,1048,522,"MAXP",1240
"GA-MaxProfit_50_033.kp",0.598,0.524,0.443,438,1105,1049,945,596,"MAXP",1105
"GA-MaxProfit_50_034.kp",0.589,0.432,0.484,321,1055,1013,734,602,"MAXP",1055
"GA-MaxProfit_50_035.kp",0.486,0.5,0.446,548,1406,1364,1202,433,"MAXP",1406
"GA-MaxProfit_50_036.kp",0.506,0.467,0.398,827,1408,1351,1164,NA,"MAXP",1408
"GA-MaxProfit_50_037.kp",0.525,0.471,0.513,456,NA,1160,987,494,"MAXPW",1160
"GA-MaxProfit_50_038.kp",0.547,0.434,0.507,NA,1007,976,514,475,"MAXP",1007
"GA-MaxProfit_50_039.kp",0.654,0.471,0.474,393,795,NA,605,445,"MAXP",795
"GA-MaxProfit_50_040.kp",0.573,0.431,0.48,287,1177,1128,943,430,"MAXP",1177
"GA-MaxProfit_50_041.kp",0.581,0.38,0.337,560,1185,1147,922,499,"MAXP",1185
"GA-MaxProfit_50_042.kp",0.608,0.464,0.557,548,963,934,763,479,"MAXP",963
"GA-MaxProfit_50_043.kp",0.516,0.474,0.489,725,1279,NA,1051,519,"MAXP",1279
"GA-MaxProfit_50_044.kp",0.634,0.542,0.539,NA,1037,990,777,459,"MAXP",1037
"GA-MaxProfit_50_045.kp",0.589,0.438,0.489,302,931,880,689,462,"MAXP",931
