INSTANCE,DEF,MAXP,MAXPW,MINW,PBMH,GA
GA-MINW_EASY_100_075,383,695,1024,1103,1103.0,674.0
GA-MINW_EASY_100_076,216,444,1054,1127,1127.0,953.0
GA-MINW_EASY_100_077,253,224,977,1047,1047.0,696.0
GA-MINW_EASY_100_078,369,815,1291,1360,1361.0,960.0
GA-MINW_EASY_100_079,322,463,1327,1386,1386.0,1032.0
GA-MINW_EASY_100_080,154,902,922,978,985.0,551.0
GA-MINW_EASY_100_081,176,581,1071,1140,1140.0,863.0
GA-MINW_EASY_100_082,393,606,1079,1149,1149.0,789.0
GA-MINW_EASY_100_083,150,663,1135,1212,1212.0,767.0
GA-MINW_EASY_100_084,279,671,1096,1155,1155.0,765.0
GA-MINW_EASY_100_085,662,471,1062,1133,1133.0,820.0
GA-MINW_EASY_100_086,140,241,1037,1111,1111.0,921.0
GA-MINW_EASY_100_087,303,583,1090,1159,1159.0,845.0
GA-MINW_EASY_100_088,459,869,1210,1271,1271.0,1092.0
GA-MINW_EASY_100_089,316,613,1157,1223,1223.0,891.0
GA-MINW_EASY_100_090,118,698,874,939,939.0,849.0
GA-MINW_EASY_100_091,193,457,1095,1162,1162.0,913.0
GA-MINW_EASY_100_092,228,368,1100,1157,1158.0,943.0
GA-MINW_EASY_100_093,271,810,1248,1328,1328.0,935.0
GA-MINW_EASY_100_094,543,128,1205,1266,1266.0,1036.0
GA-MINW_EASY_100_095,191,595,774,840,840.0,772.0
GA-MINW_EASY_100_096,249,706,1162,1247,1247.0,892.0
GA-MINW_EASY_100_097,177,560,712,778,778.0,630.0
GA-MINW_EASY_100_098,468,661,969,1043,1043.0,937.0
GA-MINW_EASY_100_099,385,350,1102,1175,1175.0,972.0
