INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXP_EASY_100_094.kp,294,764,695,506,764,294,764,764,764,764
GA-MAXP_EASY_100_095.kp,485,971,896,789,971,971,485,971,971,971
GA-MAXP_EASY_100_096.kp,58,774,703,603,774,774,58,774,774,774
GA-MAXP_EASY_100_097.kp,284,782,721,646,646,782,284,284,284,284
GA-MAXP_EASY_100_098.kp,114,686,614,537,537,686,114,114,114,686
GA-MAXP_EASY_100_099.kp,143,840,768,726,726,840,726,143,840,840
GA-MINW_EASY_100_000.kp,420,520,1186,1262,1262,1262,1262,1262,1262,1262
GA-MINW_EASY_100_001.kp,286,327,715,782,782,782,286,286,782,782
GA-MINW_EASY_100_002.kp,229,275,1000,1062,1062,1062,1062,1062,1062,1062
GA-MINW_EASY_100_003.kp,431,872,954,1015,1015,1015,1015,1015,1015,1015
GA-MINW_EASY_100_004.kp,207,535,925,986,925,986,925,925,986,986
GA-MINW_EASY_100_005.kp,479,721,1165,1233,1233,1233,1233,1233,1233,1233
GA-MINW_EASY_100_006.kp,83,446,1140,1222,446,1222,1222,1222,1222,1222
GA-MINW_EASY_100_007.kp,283,475,883,948,948,948,283,948,948,948
GA-MINW_EASY_100_008.kp,391,488,1285,1354,1354,1354,1354,1354,1354,1354
GA-MINW_EASY_100_009.kp,207,454,1038,1108,1108,1108,1108,1108,1108,1108
GA-MINW_EASY_100_010.kp,285,590,1441,1511,1511,1511,1441,1511,1511,1511
GA-MINW_EASY_100_011.kp,330,585,934,996,996,996,996,996,996,996
GA-MINW_EASY_100_012.kp,283,380,875,941,875,941,875,875,941,941
GA-MINW_EASY_100_013.kp,85,375,1007,1075,1075,1075,1075,1075,1075,1075
GA-MINW_EASY_100_014.kp,71,380,1014,1096,1096,1096,1096,1096,1096,1096
GA-MINW_EASY_100_015.kp,213,822,1284,1346,1346,1346,1346,1346,1346,1346
GA-MINW_EASY_100_016.kp,342,536,1013,1088,1088,1088,1088,1088,1088,1088
GA-MINW_EASY_100_017.kp,350,128,1130,1202,1202,1202,1202,1202,1202,1202
GA-MINW_EASY_100_018.kp,378,481,1140,1219,1219,1219,1219,1219,1219,1219
GA-MINW_EASY_100_019.kp,232,518,970,1053,1053,1053,1053,1053,1053,1053
GA-MINW_EASY_100_020.kp,127,420,911,985,985,985,911,911,985,985
GA-MINW_EASY_100_021.kp,343,345,1250,1316,1316,1316,1316,1316,1316,1316
GA-MINW_EASY_100_022.kp,399,595,922,981,595,981,981,399,981,595
GA-MINW_EASY_100_023.kp,341,203,911,986,986,986,911,911,986,986
